
28.899165868759155['note_on', 88, 64.88, 28.885674958663696, 'accompaniment', 0]
32.64512777328491['note_on', 89, 112.88000000000001, 32.64512694528099, 'accompaniment', 1]
32.66401290893555['note_off', 88, 100, 32.64612694528099, 'accompaniment', 0]
32.74046587944031['note_off', 88, 100, 32.73094271789551, 'accompaniment', 0]
36.06209897994995['note_on', 89, 65.6, 36.05323743575195, 'accompaniment', 2]
36.57450294494629['note_on', 91, 63.199999999999996, 36.57070148222491, 'accompaniment', 3]
36.59226894378662['note_off', 89, 100, 36.57170148222491, 'accompaniment', 2]
39.84256982803345['note_on', 86, 70.64, 39.84032868562379, 'accompaniment', 4]
39.85629987716675['note_off', 91, 100, 39.841328685623786, 'accompaniment', 3]
40.851486921310425['note_on', 88, 64.88, 40.851486201285674, 'accompaniment', 5]
40.85248684883118['note_off', 86, 100, 40.85248620128567, 'accompaniment', 4]
42.56195592880249['note_off', 86, 100, 42.555702488936, 'accompaniment', 4]
45.27893590927124['note_on', 93, 71.12, 45.26970024785366, 'accompaniment', 6]
45.279000997543335['note_off', 88, 100, 45.27070024785366, 'accompaniment', 5]
46.95493292808533['note_on', 81, 72.32, 46.948404805550545, 'accompaniment', 7]
46.967262983322144['note_off', 93, 100, 46.94940480555054, 'accompaniment', 6]
47.05140995979309['note_off', 93, 100, 47.045531979904176, 'accompaniment', 6]
47.360381841659546['note_on', 83, 63.92, 47.36038173009939, 'accompaniment', 8]
47.36138200759888['note_off', 81, 100, 47.36138173009939, 'accompaniment', 7]
47.42252993583679['note_off', 81, 100, 47.41579412590027, 'accompaniment', 7]
47.75790596008301['note_on', 84, 68.72, 47.75790479702244, 'accompaniment', 9]
47.75890493392944['note_off', 83, 100, 47.75890479702244, 'accompaniment', 8]
47.850247859954834['note_off', 83, 100, 47.85024713645935, 'accompaniment', 8]
48.20474910736084['note_on', 86, 68.72, 48.20346628255256, 'accompaniment', 10]
48.21105885505676['note_off', 84, 100, 48.20446628255256, 'accompaniment', 9]
48.29648494720459['note_off', 84, 100, 48.296484938964845, 'accompaniment', 9]
49.62677502632141['note_on', 88, 68.3, 49.61206696325298, 'accompaniment', 11]
49.63932490348816['note_off', 86, 100, 49.613066963252976, 'accompaniment', 10]
50.06910800933838['note_on', 86, 72.8, 50.0673634705023, 'accompaniment', 12]
50.06915497779846['note_off', 88, 100, 50.0683634705023, 'accompaniment', 11]
51.605921030044556['note_on', 91, 73.52000000000001, 51.60578898136715, 'accompaniment', 13]
51.606789112091064['note_off', 86, 100, 51.606788981367146, 'accompaniment', 12]
53.441669940948486['note_on', 79, 74.47999999999999, 53.441669894857405, 'accompaniment', 14]
53.45426392555237['note_off', 91, 100, 53.4426698948574, 'accompaniment', 13]
53.749943017959595['note_on', 81, 70.64, 53.74994224530654, 'accompaniment', 15]
53.75094294548035['note_off', 79, 100, 53.75094224530654, 'accompaniment', 14]
53.817326068878174['note_off', 79, 100, 53.81732582221985, 'accompaniment', 14]
54.075860023498535['note_on', 83, 81.19999999999999, 54.07585965672513, 'accompaniment', 16]
54.08225679397583['note_off', 81, 100, 54.07685965672513, 'accompaniment', 15]
54.16305994987488['note_off', 81, 100, 54.155475131378175, 'accompaniment', 15]
54.44852590560913['note_on', 84, 85.1, 54.44708825782664, 'accompaniment', 17]
54.461541175842285['note_off', 83, 100, 54.44808825782664, 'accompaniment', 16]
54.598238945007324['note_off', 83, 100, 54.59265493522644, 'accompaniment', 16]
55.654128074645996['note_on', 86, 75.68, 55.65412774033275, 'accompaniment', 18]
55.66941213607788['note_off', 84, 100, 55.65565895210266, 'accompaniment', 17]
55.95863699913025['note_on', 84, 76.69999999999999, 55.95588726646123, 'accompaniment', 19]
55.97018384933472['note_off', 86, 100, 55.95688726646123, 'accompaniment', 18]
57.36409592628479['note_on', 96, 67.28, 57.352932457187656, 'accompaniment', 20]
57.37667512893677['note_off', 84, 100, 57.35393245718765, 'accompaniment', 19]
57.44734597206116['note_off', 84, 100, 57.442626944885255, 'accompaniment', 19]
59.0372519493103['note_on', 84, 75.92, 59.03725116012371, 'accompaniment', 21]
59.0435791015625['note_off', 96, 100, 59.03825116012371, 'accompaniment', 20]
59.354087829589844['note_on', 86, 81.44, 59.350929244860126, 'accompaniment', 22]
59.36665391921997['note_off', 84, 100, 59.35192924486012, 'accompaniment', 21]
