
52.409842014312744['note_on', 48, 33.65, 52.40984146847342, 'accompaniment', 0]
53.17640209197998['note_on', 60, 50.300000000000004, 53.17640177284241, 'accompaniment', 1]
53.17740201950073['note_off', 48, 100, 53.17740177284241, 'accompaniment', 0]
53.786378145217896['note_on', 64, 50.300000000000004, 53.7863769598027, 'accompaniment', 2]
53.78737807273865['note_off', 60, 100, 53.7873769598027, 'accompaniment', 1]
53.92940306663513['note_off', 60, 100, 53.92768215309143, 'accompaniment', 1]
54.60653805732727['note_on', 60, 48.95, 54.60224393016473, 'accompaniment', 3]
54.618709087371826['note_off', 64, 100, 54.60324393016473, 'accompaniment', 2]
55.34524989128113['note_on', 65, 47.15, 55.337685086582525, 'accompaniment', 4]
55.36305093765259['note_off', 60, 100, 55.33868508658252, 'accompaniment', 3]
55.47367596626282['note_off', 60, 100, 55.47220992218018, 'accompaniment', 3]
56.11511778831482['note_on', 60, 37.7, 56.11511699234009, 'accompaniment', 5]
56.116117000579834['note_off', 65, 100, 56.11611699234009, 'accompaniment', 4]
56.73627305030823['note_on', 64, 44.45, 56.73627273117066, 'accompaniment', 6]
56.7615168094635['note_off', 60, 100, 56.737272731170656, 'accompaniment', 5]
57.18183088302612['note_on', 60, 48.050000000000004, 57.18006749975661, 'accompaniment', 7]
57.19332790374756['note_off', 64, 100, 57.18106749975661, 'accompaniment', 6]
57.61394691467285['note_on', 62, 56.150000000000006, 57.61121694122315, 'accompaniment', 8]
57.62652611732483['note_off', 60, 100, 57.612216941223146, 'accompaniment', 7]
57.920079946517944['note_on', 59, 56.60000000000001, 57.91999504632679, 'accompaniment', 9]
57.93261194229126['note_off', 62, 100, 57.92099504632679, 'accompaniment', 8]
58.2178099155426['note_on', 60, 56.60000000000001, 58.21429443533018, 'accompaniment', 10]
58.21786189079285['note_off', 59, 100, 58.21529443533018, 'accompaniment', 9]
58.52879977226257['note_on', 57, 57.95, 58.528799440681695, 'accompaniment', 11]
58.541409969329834['note_off', 60, 100, 58.52979944068169, 'accompaniment', 10]
58.82047390937805['note_on', 53, 53.45, 58.812443122311706, 'accompaniment', 12]
