
31.139172792434692['note_on', 88, 69.92, 31.134934456984748, 'accompaniment', 0]
35.55526566505432['note_on', 89, 86.0, 35.55526562996757, 'accompaniment', 1]
35.55626583099365['note_off', 88, 100, 35.55626562996757, 'accompaniment', 0]
35.64887881278992['note_off', 88, 100, 35.64887856613159, 'accompaniment', 0]
39.48848056793213['note_on', 89, 70.88, 39.476821857499026, 'accompaniment', 2]
40.08331489562988['note_on', 91, 73.75999999999999, 40.0792448741046, 'accompaniment', 3]
40.08336782455444['note_off', 89, 100, 40.0802448741046, 'accompaniment', 2]
40.186734676361084['note_off', 89, 100, 40.18673466812134, 'accompaniment', 2]
43.46789288520813['note_on', 86, 79.75999999999999, 43.466443125566926, 'accompaniment', 4]
43.48045778274536['note_off', 91, 100, 43.46744312556692, 'accompaniment', 3]
44.67632269859314['note_on', 88, 72.56, 44.663862798651, 'accompaniment', 5]
44.68886184692383['note_off', 86, 100, 44.664862798651, 'accompaniment', 4]
44.82018280029297['note_off', 86, 100, 44.818417779312135, 'accompaniment', 4]
49.12304067611694['note_on', 93, 85.52, 49.10373826227686, 'accompaniment', 6]
49.123082876205444['note_off', 88, 100, 49.10473826227686, 'accompaniment', 5]
49.240131855010986['note_off', 88, 100, 49.23909973274231, 'accompaniment', 5]
51.951387882232666['note_on', 81, 70.64, 51.948407807693485, 'accompaniment', 7]
51.951459646224976['note_off', 93, 100, 51.94940780769348, 'accompaniment', 6]
52.47649168968201['note_on', 83, 71.35999999999999, 52.46574953683763, 'accompaniment', 8]
52.47654986381531['note_off', 81, 100, 52.466749536837625, 'accompaniment', 7]
53.013609886169434['note_on', 84, 72.32, 53.00833029322021, 'accompaniment', 9]
53.02616572380066['note_off', 83, 100, 53.00933029322021, 'accompaniment', 8]
53.612149715423584['note_on', 86, 79.75999999999999, 53.601888490139316, 'accompaniment', 10]
53.62474179267883['note_off', 84, 100, 53.602888490139314, 'accompaniment', 9]
55.26112174987793['note_on', 88, 66.32, 55.25806772154317, 'accompaniment', 11]
55.2787446975708['note_off', 86, 100, 55.25906772154317, 'accompaniment', 10]
55.384949684143066['note_off', 86, 100, 55.38280390869141, 'accompaniment', 10]
55.87228488922119['note_on', 86, 68.0, 55.87228389822311, 'accompaniment', 12]
55.87328481674194['note_off', 88, 100, 55.87328389822311, 'accompaniment', 11]
55.94663882255554['note_off', 88, 100, 55.94663786064148, 'accompaniment', 11]
58.17703294754028['note_on', 91, 62.0, 58.17265048432632, 'accompaniment', 13]
58.189621686935425['note_off', 86, 100, 58.173650484326316, 'accompaniment', 12]
58.37829566001892['note_off', 86, 100, 58.37829493652344, 'accompaniment', 12]
60.98736381530762['note_on', 79, 83.12, 60.98736357749008, 'accompaniment', 14]
60.98836374282837['note_off', 91, 100, 60.98836357749008, 'accompaniment', 13]
61.52711772918701['note_on', 81, 82.16, 61.52329997904347, 'accompaniment', 15]
61.5334095954895['note_off', 79, 100, 61.52429997904347, 'accompaniment', 14]
61.63342070579529['note_off', 79, 100, 61.63143967758179, 'accompaniment', 14]
62.18556070327759['note_on', 83, 80.9, 62.17948665107531, 'accompaniment', 16]
62.19186472892761['note_off', 81, 100, 62.180486651075306, 'accompaniment', 15]
62.77185583114624['note_on', 84, 86.0, 62.771855164247796, 'accompaniment', 17]
62.77285575866699['note_off', 83, 100, 62.772855164247794, 'accompaniment', 16]
62.84524583816528['note_off', 83, 100, 62.84524582992554, 'accompaniment', 16]
64.42143058776855['note_on', 86, 75.92, 64.41692317754985, 'accompaniment', 18]
64.4214825630188['note_off', 84, 100, 64.41792317754985, 'accompaniment', 17]
64.93558073043823['note_on', 84, 83.6, 64.93558006367542, 'accompaniment', 19]
64.93658065795898['note_off', 86, 100, 64.93658006367542, 'accompaniment', 18]
65.00927591323853['note_off', 86, 100, 65.00927566658021, 'accompaniment', 18]
67.32456970214844['note_on', 96, 87.92, 67.31126743761347, 'accompaniment', 20]
67.3486647605896['note_off', 84, 100, 67.31226743761347, 'accompaniment', 19]
70.03559398651123['note_on', 84, 75.44, 70.02221066318197, 'accompaniment', 21]
70.0481448173523['note_off', 96, 100, 70.02321066318197, 'accompaniment', 20]
70.1272509098053['note_off', 96, 100, 70.12725066314698, 'accompaniment', 20]
70.60777497291565['note_on', 86, 75.68, 70.60319719336543, 'accompaniment', 22]
70.61400985717773['note_off', 84, 100, 70.60419719336544, 'accompaniment', 21]
70.68829488754272['note_off', 84, 100, 70.68580984245301, 'accompaniment', 21]
71.23304867744446['note_on', 88, 73.1, 71.23304777504623, 'accompaniment', 23]
71.25704669952393['note_off', 86, 100, 71.23404777504624, 'accompaniment', 22]
71.84597682952881['note_on', 90, 76.69999999999999, 71.84433108598935, 'accompaniment', 24]
71.86486196517944['note_off', 88, 100, 71.84533108598936, 'accompaniment', 23]
