
11.098453998565674['note_on', 48, 36.800000000000004, 11.098453773347, 'accompaniment', 0]
11.6872398853302['note_on', 60, 39.95, 11.687239400188346, 'accompaniment', 1]
11.688239812850952['note_off', 48, 100, 11.688239400188346, 'accompaniment', 0]
11.763600826263428['note_off', 48, 100, 11.748919001922607, 'accompaniment', 0]
12.24175500869751['note_on', 64, 41.75, 12.241754382654396, 'accompaniment', 2]
12.242754936218262['note_off', 60, 100, 12.242754382654395, 'accompaniment', 1]
12.30348801612854['note_off', 60, 100, 12.303488007888793, 'accompaniment', 1]
12.81335186958313['note_on', 60, 46.25, 12.810469939045705, 'accompaniment', 3]
12.813402891159058['note_off', 64, 100, 12.811469939045704, 'accompaniment', 2]
12.888303995132446['note_off', 64, 100, 12.874137154922485, 'accompaniment', 2]
13.357269048690796['note_on', 65, 44.0, 13.357268967971802, 'accompaniment', 4]
13.358268976211548['note_off', 60, 100, 13.358268967971801, 'accompaniment', 3]
13.832471132278442['note_on', 60, 44.0, 13.832470231259347, 'accompaniment', 5]
13.833471059799194['note_off', 65, 100, 13.833470231259346, 'accompaniment', 4]
13.895278930664062['note_off', 65, 100, 13.887899867401122, 'accompaniment', 4]
14.342966079711914['note_on', 64, 48.95, 14.342965846095595, 'accompaniment', 6]
14.343966007232666['note_off', 60, 100, 14.343965846095594, 'accompaniment', 5]
14.423661947250366['note_off', 60, 100, 14.41618084083557, 'accompaniment', 5]
14.893095016479492['note_on', 60, 51.2, 14.883453644277694, 'accompaniment', 7]
14.911971807479858['note_off', 64, 100, 14.884453644277693, 'accompaniment', 6]
15.381549835205078['note_on', 62, 54.35000000000001, 15.381549086193976, 'accompaniment', 8]
15.394188165664673['note_off', 60, 100, 15.382549086193976, 'accompaniment', 7]
15.90324091911316['note_on', 59, 54.35000000000001, 15.90324064550221, 'accompaniment', 9]
15.904240846633911['note_off', 62, 100, 15.90424064550221, 'accompaniment', 8]
15.972856760025024['note_off', 62, 100, 15.971234074935913, 'accompaniment', 8]
16.471099853515625['note_on', 60, 55.25, 16.45517985199493, 'accompaniment', 10]
16.4836847782135['note_off', 59, 100, 16.456179851994932, 'accompaniment', 9]
16.996593952178955['note_on', 57, 61.10000000000001, 16.99659307115119, 'accompaniment', 11]
17.008363962173462['note_off', 60, 100, 16.99759307115119, 'accompaniment', 10]
17.47602105140686['note_on', 53, 53.9, 17.46568700285043, 'accompaniment', 12]
17.486116886138916['note_off', 57, 100, 17.46668700285043, 'accompaniment', 11]
17.582927942276['note_off', 57, 100, 17.582927934036256, 'accompaniment', 11]
18.08207106590271['note_on', 55, 57.05, 18.082070503696077, 'accompaniment', 13]
18.083070993423462['note_off', 53, 100, 18.083070503696078, 'accompaniment', 12]
18.62025284767151['note_on', 60, 54.8, 18.618785526244746, 'accompaniment', 14]
18.62030601501465['note_off', 55, 100, 18.619785526244748, 'accompaniment', 13]
19.7113139629364['note_on', 48, 36.800000000000004, 19.69734684501648, 'accompaniment', 15]
19.722742080688477['note_off', 60, 100, 19.69834684501648, 'accompaniment', 14]
20.170891046524048['note_on', 60, 36.800000000000004, 20.170890193669113, 'accompaniment', 16]
20.1718909740448['note_off', 48, 100, 20.171890193669114, 'accompaniment', 15]
20.257642030715942['note_off', 48, 100, 20.250342837677003, 'accompaniment', 15]
20.738849878311157['note_on', 64, 44.45, 20.73612300430298, 'accompaniment', 17]
20.763957023620605['note_off', 60, 100, 20.73712300430298, 'accompaniment', 16]
21.20270013809204['note_on', 60, 44.45, 21.199484025565166, 'accompaniment', 18]
21.202743768692017['note_off', 64, 100, 21.200484025565167, 'accompaniment', 17]
21.343581914901733['note_off', 64, 100, 21.337173930511476, 'accompaniment', 17]
21.82809805870056['note_on', 65, 39.95, 21.826188006744385, 'accompaniment', 19]
21.840707778930664['note_off', 60, 100, 21.827188006744386, 'accompaniment', 18]
22.31653881072998['note_on', 60, 39.95, 22.314514532035147, 'accompaniment', 20]
22.32914113998413['note_off', 65, 100, 22.31551453203515, 'accompaniment', 19]
22.842132091522217['note_on', 64, 50.300000000000004, 22.83519201656456, 'accompaniment', 21]
22.860578775405884['note_off', 60, 100, 22.83619201656456, 'accompaniment', 20]
23.336687803268433['note_on', 60, 51.2, 23.326057067811927, 'accompaniment', 22]
23.349246978759766['note_off', 64, 100, 23.32705706781193, 'accompaniment', 21]
23.439815998077393['note_off', 64, 100, 23.41988300453186, 'accompaniment', 21]
23.881527185440063['note_on', 62, 43.550000000000004, 23.88152686630249, 'accompaniment', 23]
23.887606143951416['note_off', 60, 100, 23.88252686630249, 'accompaniment', 22]
24.35567283630371['note_on', 59, 43.550000000000004, 24.336979049014907, 'accompaniment', 24]
24.362015962600708['note_off', 62, 100, 24.33797904901491, 'accompaniment', 23]
24.44095015525818['note_off', 62, 100, 24.440949908599855, 'accompaniment', 23]
24.913620948791504['note_on', 60, 52.550000000000004, 24.91362013035025, 'accompaniment', 25]
24.914620876312256['note_off', 59, 100, 24.91462013035025, 'accompaniment', 24]
25.429914951324463['note_on', 57, 48.5, 25.42991418483289, 'accompaniment', 26]
25.44143295288086['note_off', 60, 100, 25.43091418483289, 'accompaniment', 25]
25.950956106185913['note_on', 53, 45.800000000000004, 25.945466280979172, 'accompaniment', 27]
25.963526010513306['note_off', 57, 100, 25.946466280979173, 'accompaniment', 26]
26.40099000930786['note_on', 55, 47.15, 26.39703465435173, 'accompaniment', 28]
26.40731906890869['note_off', 53, 100, 26.398034654351733, 'accompaniment', 27]
26.516763925552368['note_off', 53, 100, 26.516763917312623, 'accompaniment', 27]
26.99217700958252['note_on', 60, 53.45, 26.99217644091328, 'accompaniment', 29]
26.99317693710327['note_off', 55, 100, 26.99317644091328, 'accompaniment', 28]
28.146552801132202['note_on', 64, 53.0, 28.14655200515747, 'accompaniment', 30]
28.147552013397217['note_off', 60, 100, 28.147552005157472, 'accompaniment', 29]
28.675703048706055['note_on', 55, 53.0, 28.671169651580374, 'accompaniment', 31]
28.67575979232788['note_off', 64, 100, 28.672169651580376, 'accompaniment', 30]
28.737377882003784['note_off', 64, 100, 28.729040852890016, 'accompaniment', 30]
29.270550966262817['note_on', 62, 50.300000000000004, 29.2693201688385, 'accompaniment', 32]
29.27688980102539['note_off', 55, 100, 29.270320168838502, 'accompaniment', 31]
29.76152205467224['note_on', 55, 48.050000000000004, 29.761521973953247, 'accompaniment', 33]
29.771622896194458['note_off', 62, 100, 29.76252197395325, 'accompaniment', 32]
30.221564054489136['note_on', 60, 48.050000000000004, 30.221563132330758, 'accompaniment', 34]
30.23350191116333['note_off', 55, 100, 30.22256313233076, 'accompaniment', 33]
30.717221975326538['note_on', 55, 51.2, 30.71131722174358, 'accompaniment', 35]
30.71726393699646['note_off', 60, 100, 30.712317221743582, 'accompaniment', 34]
30.80770993232727['note_off', 60, 100, 30.805631867752076, 'accompaniment', 34]
31.272740840911865['note_on', 59, 46.7, 31.26935147210366, 'accompaniment', 36]
