
6.326218605041504['note_on', 24, 45.800000000000004, 6.322254250331441, 'accompaniment2', 0]
6.90718674659729['note_on', 36, 45.800000000000004, 6.906947575349461, 'accompaniment2', 1]
6.912690162658691['note_off', 24, 100, 6.9079475753494615, 'accompaniment2', 0]
7.171390056610107['note_off', 24, 100, 7.163598767623902, 'accompaniment2', 0]
7.704229354858398['note_on', 40, 45.800000000000004, 7.693674125858319, 'accompaniment2', 2]
7.731698751449585['note_off', 36, 100, 7.694674125858319, 'accompaniment2', 1]
7.816520690917969['note_off', 36, 100, 7.813086501464844, 'accompaniment2', 1]
8.501038074493408['note_on', 36, 45.800000000000004, 8.492889209355793, 'accompaniment2', 3]
8.501038074493408['note_off', 40, 100, 8.493889209355793, 'accompaniment2', 2]
8.638322591781616['note_off', 40, 100, 8.629335395202636, 'accompaniment2', 2]
9.44197130203247['note_on', 41, 45.800000000000004, 9.433216053322228, 'accompaniment2', 4]
9.453469276428223['note_off', 36, 100, 9.434216053322228, 'accompaniment2', 3]
10.311307430267334['note_on', 36, 45.800000000000004, 10.3089463347805, 'accompaniment2', 5]
10.311307430267334['note_off', 41, 100, 10.3099463347805, 'accompaniment2', 4]
11.132631063461304['note_on', 40, 45.800000000000004, 11.126495208213809, 'accompaniment2', 6]
11.137662172317505['note_off', 36, 100, 11.127495208213809, 'accompaniment2', 5]
11.913609027862549['note_on', 36, 45.800000000000004, 11.912118291853295, 'accompaniment2', 7]
11.936328411102295['note_off', 40, 100, 11.913118291853294, 'accompaniment2', 6]
11.990285634994507['note_off', 40, 100, 11.989468804702758, 'accompaniment2', 6]
12.706135272979736['note_on', 38, 45.800000000000004, 12.702718177185059, 'accompaniment2', 8]
12.706135272979736['note_off', 36, 100, 12.703718177185058, 'accompaniment2', 7]
13.46816611289978['note_on', 35, 45.800000000000004, 13.435331379640344, 'accompaniment2', 9]
13.479288816452026['note_off', 38, 100, 13.436331379640343, 'accompaniment2', 8]
14.47210955619812['note_off', 38, 100, 14.469875327453613, 'accompaniment2', 8]
15.901095390319824['note_on', 36, 45.800000000000004, 15.858849217286714, 'accompaniment2', 10]
15.922642230987549['note_off', 35, 100, 15.859849217286714, 'accompaniment2', 9]
16.955949306488037['note_on', 33, 45.800000000000004, 16.95549885307312, 'accompaniment2', 11]
16.956973791122437['note_off', 36, 100, 16.95649885307312, 'accompaniment2', 10]
17.9412899017334['note_on', 29, 45.800000000000004, 17.93979301923177, 'accompaniment2', 12]
17.946329593658447['note_off', 33, 100, 17.940793019231773, 'accompaniment2', 11]
18.938082933425903['note_on', 31, 45.800000000000004, 18.935032002758202, 'accompaniment2', 13]
18.943567514419556['note_off', 29, 100, 18.936032002758203, 'accompaniment2', 12]
19.10127305984497['note_off', 29, 100, 19.09810852180481, 'accompaniment2', 12]
20.026734590530396['note_on', 36, 45.800000000000004, 20.000163522201536, 'accompaniment2', 14]
20.058255672454834['note_off', 31, 100, 20.001163522201537, 'accompaniment2', 13]
21.047558784484863['note_on', 24, 45.800000000000004, 21.047294703330845, 'accompaniment2', 15]
21.04850935935974['note_off', 36, 100, 21.048294703330846, 'accompaniment2', 14]
21.514987468719482['note_on', 36, 45.800000000000004, 21.492398339222145, 'accompaniment2', 16]
21.543033599853516['note_off', 24, 100, 21.493398339222146, 'accompaniment2', 15]
22.414106369018555['note_off', 24, 100, 22.413826218948365, 'accompaniment2', 15]
23.633332014083862['note_on', 40, 45.800000000000004, 23.63316616985477, 'accompaniment2', 17]
23.655871391296387['note_off', 36, 100, 23.634166169854772, 'accompaniment2', 16]
24.018499612808228['note_off', 36, 100, 24.0080076487926, 'accompaniment2', 16]
24.751182794570923['note_on', 36, 45.800000000000004, 24.731962807678336, 'accompaniment2', 18]
24.756223917007446['note_off', 40, 100, 24.732962807678337, 'accompaniment2', 17]
25.475911855697632['note_on', 41, 45.800000000000004, 25.45703180831893, 'accompaniment2', 19]
